autor,calificacion,contenido,hotel,titulo
DJK,40,"So we stayed next door (the other hotel) during a conference. Our hotel didn't have a bar. Thank God this was next door, what a great bar. Plenty of TVs to watc,...",LaGuardia Plaza Hotel,Great bar
DJK,40,"In town for a convention. This was the hotel the county put us at. Was disappointed when we arrived. But, was pleasantly surprised. Would love to give higher ra,...",Hampton Inn New York-LaGuardia Airport,Surprised 
DJK,30,"I bet twenty years ago, this was the place to be. It had so much potential, was not at all like you see in movies or during the famous hot dog eating competitio,...",Coney Island,Had potential
DJK,40,"We came by here because of the movie ghost busters. We weren't disappointed, crazy amount of history in an incredible city!",New York Public Library,Ghost busters
DJK,50,"If you don't love here, you need to visit this place. It's crazy how it had bars, shopping and that is before you even get down into the subway system. Very coo,...",Grand Central Terminal,Crazy
DJK,50,"So out of all the high rise tours, this is the one you must do. Incredible views unobstructed from other buildings. You can see for miles, my recommendation use,...",Empire State Building,If you do one high rise tour!!
DJK,30,"So we came by here for a drink before going to the Empire State Building, small bar not overly big. I love old fashion and was very disappointed.",Jack Demsey's,Had potential
DJK,50,"This is a definite roof top bar that you need to visit. They have two levels of roof top bar. Great drinks and incredible views!! Ask for a old fashion, great d,...",Margaritaville Resort Times Square,Great roof top bar
DJK,40,"Cool roof top bar/restaurant. The food is ok, Irish bacon is ok. Great beer selection, unique bar to visit, not necessarily get a bite. But, just get a drink!",Connolly's Pub & Restaurant,Cool view
DJK,50,"Awesome, just a very cool place. So much to see. There are a crazy amount of street performs that entertain you while chillin. See during the day time and total,...",Times Square,Incredible
DJK,50,"We're in town for a FDNY conference and decided to come here for dinner. Wow, what a cool place. Great beer selection and food was delicious. What was cool is f,...",Bohemian Hall & Beer Garden,Cool place
DJK,50,"So we're in town for a FDNY conference. And the group decided we need to see a Yankee's game. This is a very cool park, well laid out. It has plenty of restaura,...",Yankee Stadium,Well done!
DJK,50,"So this is a piece of history every American must do. Make sure your get reservations and give yourself a minimum of three hours for the museum. I think it's la,...",9/11 Memorial Museum Admission Ticket,Heart breaking
DJK,50,"So we're in town for a FDNY conference. We flew in a day early to do some sight seeing. I suggested we start here with drinks before 9/11 museum. What a very co,...",The Dead Rabbit,Old fashion!!
DJK,50,"Hands down, best whiskey in the area!! Owners are very friendly and make one of the best old fashion I've had. Great hearing about history of the area and enjoy,...",Lionheart Whiskey Co.,Old fashion!!
DJK,50,"Up visiting for a wedding and decided to visit the area before the wedding. Went to a couple of distillery and decided to eat here. Whiskey was good, but your f,...",Fernweh Distilling Co.,Brisket grilled cheese!
DJK,50,"We came up here for a wedding, hotels were very expensive in the area. We noticed this B&B, we've never been to one. We have it a chance, what a great place. Gu,...",The Doll House Bed & Breakfast,Friendly and cozy!!
DJK,40,"We we're driving through on our way to a wedding and decided to stop. So the good and then the bad. Beautiful concept, from having the monument in the water fro,...",The Gateway Arch,Park at the hotel if handicap
DJK,50,"What a great escape room. We have done several different ones in different states. And, this is by far the best one we have done. They have several great ones t,...",Escapology Pigeon Forge,Star Trek
DJK,50,"What an awesome local haunted house, love the fact they keep changing it up every year. This year it's two haunted houses for one price. They combined the first,...",Folklore Haunted House,You will die!!
AAHN,50,"at the last minute I had to add an another room night before my original booking luckily   Kyalin was at the desk and dug until she could get me  one then was a,...",Motto by Hilton New York City Chelsea,Great hotel- good value
AAHN,50,"Terrific meal! We were a group of 8 and had a fantastic dinner. The grilled octopus was very yummy, catch of the day to rabola was delicious, sea bass and fettu,...",Salsipuedes Restaurante,Greet dinner!
AAHN,40,"Very cool-Sustainability oriented hotel at a great location. Ask for a floor with a view if you can- I moved from the 4 th floor which was a bit darker and nois,...",1 Hotel Central Park,Fascinating hotel- great location!
AAHN,50,"Amazing balloon flight by a top notch team here in Moab UT. Everything was perfect- from the crew ( thanks Homer and team!) to our delightful and skilled pilot ,...",Canyonlands Ballooning,"Fantastic, safe and memorable flight!"
AAHN,50,"Our son was proposing to his girlfriend Saturday and was planning to stay with her that night with at the Wilcox on Melrose, with the whole family gathering for,...",Cafe La Gaule,Fantastic food and unforgettable service !
AAHN,50,"Our son was proposing to his girlfriend Saturday and was planning to stay with her that night with at the Wilcox, with the whole family gathering for breakfast ,...",The Wilcox on Melrose,A perfect family event. It’s true: Ridiculously accommodating ! 
AAHN,50,"This family friendly restaurant ( great playground right there) had the best food I have had here! All of the appetizers were wonderful- we ordered one of each ,...",The Foodbarn Cafe & Tapas,Highly recommend this great restaurant
AAHN,50,"This is a great hotel- had stayed here once before, but this time had upgraded to the executive lounge and it is fantastic! The team there- Amy, Margary and Ell,...",Four Seasons Hotel Shanghai,Amazing service with Executive Lounge!
AAHN,40,"This hotel is in a great and convenient location. We were most impressed by the way we were greeted and welcomed by the staff in general but especially Malo. Ma,...","The Morrison Dublin, Curio Collection by Hilton",Great location and great service from Malo!
AAHN,50,"Fantastic food and wonderful service. We will be back! Far exceeded our expectations. Best food outside of Tunisia we have ever had! The couscous royal was supe,...",Sidi Bou - London,A fantastic and authentic restaurant! Highly recommend!
AAHN,50,"We stumbled upon this lovely restaurant somewhat by chance and were thrilled with our meal! We were served by Mese and Chris who provided great service and sugg,...",Pebble Beach Restaurant & Sunset Bar,Wonderful meal  from start to finish! Great for seafood lovers and lovely view!
AAHN,50,"We were starved and a local friend had recommended Pastar- so we arrive around 2:30 for a BIG lunch ( big enough to be like an early dinner!) and were not disap,...",Pastar Restaurant,Fantastic meal and great value! Definitely a top pick for Prague!
AAHN,50,"We had a perfect sunny day and decided to head up to Petrin Hill. For the Tower skip below but here are a few ad't comments: I highly recommend the funicular- i,...",Petrin,Wonderful place to visit to get away from the bustle of the city!
AAHN,50,"This is one of the coolest sculptures I have seen and is in a pretty central spot in Prague-- right off the green Line or tram 22 at Narodni Trina Stop. It is a,...",Franz Kafka Statue,well worth the visit! SO cool !
AAHN,50,"I cannot recommend this tour highly enough. I am interested in Street Art but you do not need to know anything to enjoy this- it works for people who know quite,...",Street Art London's street art tour,Fantastic must-do tour- Completely exceeded our expectations!
AAHN,50,"Stone Soup is one of those lovely restaurants that combines a great and comfortable atmosphere, really great food and the bonus of fantastic take-away food ( pa,...",Stone Soup Market & Cafe,A delightful and charming find with great food!
